Rating|id|Short-Info|Purpose|More-Info
1|6654|Tallow is a fat derived from the fatty tissue of sheep or cattle. It consists primarily of fattyacid glycerides.|skin-conditioning agent - occlusive and emollient|https://www.ewg.org/skindeep/ingredients/706429-TALLOW/
1.5|6655|TEA-Oleate is a salt of Oleic Acid (q.v.).|surfactant - cleansing agent, surfactant - emulsifying agent, cleansing, emulsifying, and surfactant|https://www.ewg.org/skindeep/ingredients/706472-TEA_OLEATE/
2.0|6656|||https://www.ewg.org/skindeep/ingredients/706630-TRIDECETH9_PEG5_OCTANOATE/
3.5|6657|Turpentine is a mixture of terpene hydrocarbons obtained from various species of Pinus.|external analgesic, fragrance ingredient, viscosity decreasing agent, and perfuming|https://www.ewg.org/skindeep/ingredients/706749-TURPENTINE_OIL/
1|6658|||https://www.ewg.org/skindeep/ingredients/706796-URTICA_DIOICA_NETTLE_FLOWER_WATER/
1|6659|Valeriana Officinalis Root is a plant material derived from the dried rhizomes and roots of thevalerian, Valeriana officinalis.|fragrance ingredient, not reported, and soothing|https://www.ewg.org/skindeep/ingredients/706828-VALERIANA_OFFICINALIS_VALERIAN_ROOT/
1|6660|Zea Mays (Corn) Cob Meal is a milled powder prepared from the cobs of Zea mays.|abrasive, bulking agent, binding, and bulking|https://www.ewg.org/skindeep/ingredients/707043-ZEA_MAYS_CORN_COB_MEAL/
2|6661|Zinc Undecylenate is a salt of undecylenic acid.|anticaking agent, antifungal agent, cosmetic biocide, anticaking, antimicrobial, and opacifying|https://www.ewg.org/skindeep/ingredients/707078-ZINC_UNDECENOATE/
2.5|6662||fragrance ingredient and masking|https://www.ewg.org/skindeep/ingredients/716286-ACETYL_HEXAMETHYL_INDAN/
1|6663|Acetylated Sucrose Distearate is an acetyl ester of Sucrose Distearate (q.v.).|skin-conditioning agent - emollient, emollient, and skin conditioning|https://www.ewg.org/skindeep/ingredients/716314-ACETYLATED_SUCROSE_DISTEARATE/
4.0|6664|Ceteareth-15 is a polyethylene glycol ether of Cetearyl Alcohol (q.v.).|surfactant - emulsifying agent|https://www.ewg.org/skindeep/ingredients/717554-CETEARETH15/
1|6665|Commiphora Abyssinica Extract is an extract of the myrrh, Commiphora abyssinica.|not reported|https://www.ewg.org/skindeep/ingredients/718062-COMMIPHORA_ABYSSINICA_EXTRACT/
1|6666|Dipentaerythrityl Hexahydroxystearate/Hexastearate/Hexahydrogenated Rosinate is thehexaester of 12-hydroxystearic acid, stearic acid and Hydrogenated Rosin (q.v.) and a dimer ofpentaerythritol.|skin-conditioning agent - emollient, skin-conditioning agent - occlusive, emollient, and skin conditioning|https://www.ewg.org/skindeep/ingredients/718644-DIPENTAERYTHRITYL_HEXAHYDROXYSTEARATEHEXASTEARATEHEXAHY_DROGENATED_ROSINATE/
